Wallet,Debt,Collat Val
terra1g7dvv3jwf8jr570t795274nc9e9x4rs6m58vfw,6437.716689,0
terra1uqwsjcjm9dz9z2dfc9zu0aqlujfxt6qhdt7ks8,1207.336812,0
terra1aqgp6v5zdsqjrxc0gg02qkyu3vx9325kea0279,191.870921,0
terra1etrsz6p4m47qx8nr7c5dsuljqflvhxfrkszpvl,271.127677,0
terra1a3d65tyx5sgaend6n8p3ahn8ctmggqz20aqk4e,4381.792519,0
terra1vgufpa098zg9frmrn0qz2knn44vkg86nu8yy7s,18934.00373,0
terra1r44vpq5wrgjjr9de9tdtl49xv2743e9us6zhmz,4809.071247,0
terra1vt7t7mxm5hnvsujn6zt3082g92hls6l2r6epdx,1968.844915,0
terra1q6chhdh75mvkhqd0u47wdq2488xgwm7k3e7gt8,1535.414878,0
terra1wmxs4cy9kqjrfrf7kckfqnjt7ewqla09ev9l7d,290.730626,0
terra10dmyaumlyruvx68plsvc7fw27fr02ewu23vtyu,578.076293,0
terra1j0upvek76wj69wu5uu6z7s6jtkcg8r8krw8x6a,1130.799198,0
terra15mjxx3rk0sa9v499hsmqg7kjuk6qm0r82rkyqt,363.183824,0
terra1mpan894728w44yj5al4t0z5ncvcsryljnw0vl6,2315.972003,0
terra15fmvymsmyq3ckwttyc747alyjjyx85ka9j2lqt,272.342965,0
terra1eu4wrv30fkhm495kp43p0tzhh32tea8kw3wyce,1523.66934,0
terra1pjgd4aw7wuykvsjmqutu0yz2493zz8g93l4d37,457.822972,0
terra1e4cylramm4nwdy6fc3xlrq5se805wvjce5c00e,504.117186,0
terra176s3use7zqlxys2egductqs2zwj28jct4s08hw,1376.227912,0
terra1gpw0ju75j6q8l5nugvxtwyjdzy9nzg3e2qyt8q,420.640996,0
terra132y3yyzcre76tf68nue5qyghxpngatccujgsed,399.21188,0
terra1vueqc5jt9vp4vrgc7kfxspmd24sa6eg688e5zp,989.815848,0
terra1rh9lnmus4cecz00lyk3lz7x8ku6qe6udk5l89y,1365.412663,0
terra1lshfel5a2hc3mh7skum7lts0zll2zhypdndf90,360.43499,0
terra14cxnscmgwjaaqnfnpmr0edha9qz0hx4f6xkgay,3781.196182,0
terra126f6dl92fuy4yd57m9d75auetkwvrw4jx3glus,5529.575193,0
terra147fh0mx8wk30c9lgr4a7uh7k4ydq5pd0smk9cu,1327.386266,0
terra134848xyvtt7rkz3g7zcrd8u9a288pr06v4l3my,3675.430824,0
terra15xufwhv8r6ckzkz09vf5klsde8jlj5xmp0y07g,187.162103,0
terra1w6fvnynlcpyxvl5504rw5284u3u0jwd5jhl0n3,148.218187,0
terra176mj36z6e49pze5dvpyvy7eld7lw4m44ar5rma,1902.778416,0
terra1chhw7cyah7v3d0uffjx5smfuvf5490nc4wp66n,21765.96338,0
terra1uhpgu54ae9nydghknq3dc2ryupumds2q48kv89,126.427668,0
terra1kg38v9f2kaj8ekhr8ztyy5s0n3z5w86kcxwz28,153.322233,0
terra1wx77zs44n644wfjwpku2j7jl9zn79yr4mmdnmr,420.408905,0
terra1l040cer9kjyqp57wxacucn88vn3wvr8amz9lfk,1675.666559,0
terra1j4lg2vctvkmljl5k93q5krn5x9fd2pkcxpzync,396.13754,0
terra12f3xpm905ypyak5uxahjm6azgycq8zwa8vsqax,8587.517289,0
terra192mhnpsad2aqanxehh8zlqsqxs0lmylj2qq3q2,1352.052626,0
terra10th5jy3en50280qgae6xlkz97m547zz7kf3yee,169.018462,0
terra192d3er9qdknhq42rq9gkuwlaahkge36g9lhac7,6809.341206,0
terra1artfwwnq08rlt792jmfke9v56wqxqa66c0x8w6,339.31588,0
terra1zf2nsw3rf8mzxntvjfg8szlccll9kjmc8jzz7j,5559.819131,0
terra1wz6rtj74j9wuzjv3vf0dtr2yv900wm43d4qeet,381.487379,0
terra173unens7ls0qve4zdn4va7ht7rh0jgj0663w5s,333.993278,0
terra1t4j3l5kay2u6expeg7k0fu5lrgrm2jm9yunz0a,123.740438,0
terra1puxua6965u4ttq3322q406zw65vx9p4h3emk9z,688.646497,0
terra1zt6ufemcqfdll945xvyfvupszfkrqd54an2rvq,3596.67044,0
terra1z54ygzptp0ylvsewv7mr4xwhrr83qxahn0ypzc,4930.174068,0
terra12z9mgsy6fykgjqtkvd3rgzfnfca5vduepyetan,2872.200474,0
terra1vqesmy4stryr43ersmdgh99zrw9y60ckzzscck,168.578254,0
terra198l88uqtdv3m078x27qdktdgkxrfym7fmscqpy,125.121131,0
terra1ah9s8wtcfg8f94snjhwry64ty62uhqrxwqxdmu,536.856546,0
terra1gyujj0jy9cjfxquwkad8du2u77aq80elju9ruz,236.58285,0
terra12lxfck4pzfg5wpuc5fr6rmnt9j2vhx2j7d57ly,2551.350041,0
terra1hz0zlxpjdw38u7xt7qs63p78v663437a7nzuvt,152.067891,0
terra1qh9z5nauqpcg9wxzr6zvgc593t09zx33m2h8pm,693.765408,0
terra13tnt3ey90qmjtc5y6ez78mtp2gy8fffxewejv7,486.290254,0
terra1lx3wlvykpghnuhxpjstg2wry59aydd7u56zwle,1460.771472,0
terra1z5ulqwpeqvzealpcr2458zg6szjtwym2dleqm2,111.21296,0
terra1xtkjx9ejyv0dytajfunm5gzavraaknurg9nx96,564.365236,0
terra1v0kfw77gg2v03l2pkl9k5kxmwcv5gtwzpct326,1619.893856,0
terra1hmfjjlqpp93u5gqart5smnj5kjfzaekznmq228,147.430142,0
terra1xy9l9c6t9s2m2zfhg7chj7srn2hf3d6hyw6mu8,192.658481,0
terra1mej4ngr6tmktn6xl3n0n2nkhc8sarvkclnn9my,911.932612,0
terra13h3xq9fxj2t6f7km30l7w505efjfg2j8ff8jqu,260.039129,0
terra1hd9v7en67sdqq5h55smmsylfqwgh7wpex8zse9,1905.513671,0
terra1txkethhvueyphrqls7hqhve8a5ex3vruuyuy9q,5547.231182,0
terra1vqcl6dss3jjr82xrajnyhpajdpyr93jn3aknsn,862.857058,0
terra16srj4p63gjenwvf4tuvr3fjgdvwsyfvxzy0v6q,132.834875,0
terra1ea4x4zdae5dqqgsrvwnxwc78ac9g4wsg6vq32j,1321.38444,0
terra1hnh0rqt3drd5y9m5p52tknk5w4fn30ncelrh39,1789.03515,0
terra1u0stxrjagqhckq4fxzpw6ewwxaug4c28nht6w2,1016.392064,0
terra1mqtcp4v0h9kyp52fvamewteyvnlpe73ne59xvg,115.099447,0
terra1up4xvmekmx2wfmjw0ektu9dp0ph402fa7y9ngr,125.896898,0
terra1jf0rruu7xulwf926hellln44dyxr039hhlc7x2,65851.04219,0
terra1gdpandk53y9whuym3fhfxh4vrmrzmlfspf4jvu,500.422806,0
terra1jyha90052xf6zdyfs3975p7fphm63yttcjau6g,522.26763,0
terra1vat2hgd29jt774a0xk5awprgmxwycy55x08kmk,1647.908096,0
terra1htamz5c3jyrvkydq6dxpd6vgfucd4lyqfr8an8,361.086675,0
terra1u8esap4275p462alfldc7kewl3dvkx3d3rdrfc,154.809267,0
terra153k8gt4zxevw2ny4sl2y6vn3ynhne5flddvehy,5435.706736,0
terra10wvs6mksq5v4pzwag578uxvswwt8d5c7zxa4a8,1448.787526,0
terra1g8ng9t90ntvrxp2nyz8znmw8hc5xlu5wywy23d,863.731231,0
terra1vnt6a6jlduryu0049wsucjkqylwprzgzqk0zjd,6712.702526,0
terra14gaa93rte7e5zwdksx2ts40w678zsgdu499ka0,1021.373548,0
terra1d26zhvz3c3zcrkl3nywvdref72k0vpcqhp0rw4,112.079703,0
terra10q4lvxff7udmr0kr4pfjz55enqd96t0n0hpstr,5227.845866,0
terra1yxetrgs49gqdm6wkx4h9hxlg0spxh3z388jkzk,515.052145,0
terra1l02gjlf5f4q20n4gfn9tfy3rm6k5n2q874m7v0,297.002909,0
terra14qspyd6wquwdmedgxk3yl6msrgcqdsw6t32h8a,446.604038,0
terra1m0wrl3fh55uy7g90fkerleek3w4s4scn5qqcvv,456.402442,0
terra1m79wu7a2fktm2xlu7eyt4ma3swztt0d437uzel,509.189485,0
terra1tah8x7fe5lf7pf74k5fmf9lvs89s285smfhzxh,1084.2969,0
terra1jn2pytew906ewgrddlec4gdpgjhjupyjkt6l4y,374.167979,0
terra12ta6hmyszuptscs32v3vexfv3muz24e6klfhcm,6830.524778,0
terra1gj6k8yrf28nsylth8upp03mtdkqhcc9hzumapk,297.517272,0
terra12kq03xje8xf45nzkw8wdydjxf0s9g4jwtmptdh,379.3354,0
terra1qvjrzynh27dsljn40n6r2dvaqmkhcasfg2y7ge,35214.68909,0
terra13u4uwp302cc0stkx4hf4rcsle8yucp7c27pkhv,941.73962,0
terra140lqz7rgypcmgwjd6h25g4kj3faljd7z5gwcuw,499.471126,0
terra167d69atdud4pghdd2djt7r7dujghzynlxx8ct4,200.593952,0
terra1glf9wd6fxlu2y3wxef5tsk9a8zw78an3r3ka62,3663.978458,0
terra18mqxt7qvmkvaqfdsh5qlkcurql5xu0f2mfxzhz,389.994349,0
terra18rrvzdjga0kpq7fw975trd04vmt75efhan2u35,221.923531,0
terra169eep3ma4xfsk7ncyezd7cj94kyqlrxak8len8,335.786994,0
terra1kqcwgxz7zvt5da3qjjve305p0g20cx28ckqxal,107533.043,0
terra1vhd68q76j7rugjy8l2vnf666tv857hl8vgzsaz,2523.568687,0
terra1cj302jl9z0kqze3msgvw00vx9mjeulhjh8fl06,169.69061,0
terra16qddd8dnpjpxjtwk0ulpkax2vrea2f8q2twx8w,15035.26254,0
terra1904pdzu388k05zsr5y9fxn4mp6jh20ut3n3y4v,443.874518,0
terra14z6f86q3szntcljthnkdyxpedaf0p0a9ccnye2,675.347222,0
terra1hrnd8fcx43pwfgcr7hlrz0xpn5f4uksaucsmr3,1395.29326,0
terra1xc06upn25zknmp29rf0vf8fpmludxsk7dklt9e,172.865937,0
terra135z8ugx4gtu2ys58rt5utk3f50lwh0qxuln7ml,12057.7949,0
terra1gmcws89z3xdkkfp0uv8kl0gtjxjr3fl5k27ccu,1121.047068,0
terra1dzwmw5qkfkcjez5qfxx88smy953awgmwgtg2r8,131.037076,0
terra1tn9p2x2v6akz3vljcv77vta68yx5g8h9ggspky,693.012977,0
terra1d9tjpt7e9jqt453ygvseetjcmmav3lnamvm928,1825.042759,0
terra1cx8j8aym6lnj5z7m6xm6hd06jxzt9xpdyhryfq,3487.490586,0
terra1hg3zea8e40f66yq6wep4st23tdx7gggwa9grt8,122.362921,0
terra1u4ysa73tkxv8p30er6kpy4c7whndgga46gtg38,4024.987435,0
terra17eaf04xxtppcedntzf62nmus4asxezut4xr6q7,1612.585834,0
terra1ctz8cyvuncu9ptpuhxceaehftjq6scpx72qhjf,106.728714,0
terra1ytm45kh2s430qa0c4cd5s7zpxv97sspemc6zxr,4971.791885,0
terra18pfl6jl4jkqm6tks80rfgjmmpe79eamzkcy09n,206.753624,0
terra1c0whn5pmlfxggpmy38a25phn4d9sp560e5dh3v,4794.874723,0
terra15upglt0x3l4jaksduayunspkw5m2luhj09aam4,163.14814,0
terra1gaxk7e9q9j8xuwc6ruq6nvz0f86m4ly3d9upzj,16461.42725,0
